Original,Sospechoso
perro correr parque,perro parque
gata dormir tejado,gata descansar tejado
niño comer manzana,niño alimentar manzana
casa hermoso,casa amplio bonito
árbol hoja verde,árbol poseer hoja verde
auto rojo pasar calle,coche rojo circular calle
montaña alto nevado,montaña elevado cubierto nieve
perro ladra fuerte,perro ladrar voz alto
gata jugar hilo,gata entretener hilo
niño estudiar examen,niño preparar examen
niña bailar gracia,niña mover gracia
auto correr velocidad,coche velocidad
casa jardín bonito,casa bonito jardín
árbol sombra verano,árbol proporcionar sombra verano
perro comer comida,perro alimentar
gata dormir cama,gata descansar cama
niño jugar parque,niño divertir parque
niña estudiar prueba,niña preparar prueba
auto rojo rápido,coche rojo veloz
casa piso,casa piso
árbol fruto otoño,árbol producir fruto otoño
perro ladrar extraño,perro ladrar desconocido
gata jugar bola lana,gata divertir bola lana
niño comer helado,niño consumir helado
niña cantar canción,niña entonar canción
auto rojo estacionar,coche rojo estacionar
casa tejado teja,casa poseer tejado teja
árbol perder hoja otoño,árbol arrojar hoja otoño
perro perseguir gato,perro perseguir felino
gata maulla noche,gata emitir sonido noche
niño jugar amigo,niño divertir amigo
niña estudiar biblioteca,niña preparar biblioteca
auto rojo raya negro,coche rojo franja negro
casa ventana,casa ventana
árbol crecer lentamente,árbol desarrollar lentamente
perro sentar,perro colocar
gata esconder sofá,gata ocultar sofá
niño jugar fútbol parque,niño jugar fútbol parque
niña cantar coro escuela,niña entonar coro escuela
auto rojo necesitar gasolina,coche rojo requerir gasolina
casa jardín patio trasero,casa poseer jardín patio trasero
árbol sombra verano,árbol proporcionar sombra verano
perro ladrar extraño,perro ladrar persona desconocido
gata jugar bola lana,gata divertir bola estambre
niño comer helado,niño consumir helado postre
niña cantar canción,niña entonar melodía
auto rojo estacionar,coche rojo aparcar
casa tejado teja,casa tejado teja rojo
árbol perder hoja otoño,árbol arrojar hoja otoño
perro perseguir gato,perro gato
gata maulla noche,gata emitir maullido noche
niño jugar amigo,niño divertir amistad
niña estudiar biblioteca,niña preparar biblioteca examen
auto rojo raya negro,coche rojo raya blanco
casa ventana,casa poseer ventana pequeño
árbol crecer lentamente,árbol desarrollar rápidamente
perro sentar,perro acostar
gata esconder sofá,gata mostrar sofá
niño jugar fútbol parque,niño estudiar parque
niña cantar coro escuela,niña bailar coro escuela
auto rojo necesitar gasolina,coche rojo necesitar electricidad
casa jardín patio trasero,casa poseer jardín patio delantero
árbol sombra verano,árbol fruto verano
perro ladrar extraño,perro ladrar perro
gata jugar bola lana,gata jugar bola hilo
niño comer helado,niño comer ensalada
niña cantar canción,niña leer libro
auto rojo estacionar,coche rojo
casa tejado teja,casa tejado metal
árbol perder hoja otoño,árbol crecer hoja otoño
perro perseguir gato,perro jugar gato
gata maulla noche,gata dormir noche
niño jugar amigo,niño estudiar amigo
niña estudiar biblioteca,niña jugar biblioteca
auto rojo raya negro,coche rojo raya azul
casa ventana,casa ventana pequeño
árbol crecer lentamente,árbol desarrollar rápidamente
perro sentar,perro correr
gata esconder sofá,gata saltar sofá
niño jugar fútbol parque,niño correr parque
niña cantar coro escuela,niña estudiar coro escuela
auto rojo necesitar gasolina,coche rojo necesitar aire
casa jardín patio trasero,casa jardín patio delantero
árbol sombra verano,árbol fruto verano
perro ladrar extraño,perro jugar extraño
gata jugar bola lana,gata jugar bola papel
niño comer helado,niño comer fruta
niña cantar canción,niña bailar canción
auto rojo estacionar,coche rojo
casa tejado teja,casa tejado paja
árbol perder hoja otoño,árbol crecer hoja otoño
perro perseguir gato,perro jugar gato
gata maulla noche,gata dormir noche
niño jugar amigo,niño estudiar amigo
niña estudiar biblioteca,niña jugar biblioteca
auto rojo raya negro,coche rojo raya azul
casa ventana,casa ventana pequeño
árbol crecer lentamente,árbol desarrollar rápidamente
perro sentar,perro correr
perro sentar,perro correr
